"","carat","cut","color","clarity","total_depth","table","length","width","depth","price"
"33739",0.38,"Very Good","G","VS1",63.5,59,4.58,4.61,2.92,840
"40781",0.31,"Premium","D","IF",60.2,59,4.39,4.42,2.65,1167
"40291",0.4,"Ideal","H","VVS2",62.1,57,4.74,4.69,2.93,1125
"46700",0.5,"Fair","D","VVS1",65.9,64,4.92,5.03,3.28,1792
"36736",0.32,"Very Good","E","VVS1",60.8,58,4.38,4.41,2.67,954
"6435",1.2,"Fair","G","SI2",65.5,59,6.73,6.53,4.34,4044
"41017",0.41,"Ideal","E","VVS2",61.4,53.9,4.79,4.81,2.95,1186
"38385",0.42,"Ideal","E","VS2",62,55,4.82,4.8,2.98,1024
"26762",2,"Very Good","F","SI1",63.6,58,7.91,7.98,5.05,16580
"18763",1.07,"Premium","E","VS2",59.3,56,6.71,6.69,3.97,7670
"1851",0.7,"Ideal","F","VS2",61.6,55,5.72,5.75,3.53,3064
"25685",0.33,"Very Good","G","VS1",61.2,57,4.46,4.49,2.73,643
"5406",1.01,"Premium","I","SI2",61.7,60,6.4,6.34,3.93,3818
"26406",1.52,"Ideal","D","VS2",62.1,58,7.36,7.4,4.58,15922
"26985",2.01,"Ideal","I","VS1",62.5,56,8.08,8.02,5.03,17068
"47978",0.38,"Ideal","G","SI2",62,55,4.66,4.69,2.9,532
"51329",0.31,"Premium","I","VVS2",62.1,58,4.33,4.37,2.7,544
"44190",0.51,"Very Good","D","SI1",61,60,5.15,5.18,3.15,1569
"13276",1.24,"Very Good","H","SI2",63.2,55,6.88,6.83,4.33,5486
"46414",0.52,"Ideal","E","VS2",61,57,5.21,5.19,3.17,1767
"52259",0.7,"Ideal","I","VVS1",61.4,55,5.7,5.76,3.52,2489
"45207",0.51,"Premium","G","VS1",62.3,58,5.08,5.13,3.18,1656
"33851",0.3,"Ideal","F","VS1",61.4,56,4.37,4.33,2.67,844
"12386",0.33,"Ideal","G","VS2",61.3,57,4.45,4.49,2.74,598
"24898",1.71,"Premium","D","SI2",60.6,60,7.76,7.69,4.68,13325
"11497",1,"Good","I","VS1",63.7,56,6.34,6.32,4.03,5018
"18436",1.37,"Ideal","I","VS2",61.3,56,7.15,7.18,4.39,7500
"10543",1.01,"Ideal","I","VS1",62.6,56,6.42,6.36,4,4808
"52717",0.56,"Ideal","F","VVS2",61.3,57,5.31,5.35,3.26,2554
"18740",1.04,"Ideal","G","VS1",61.9,57,6.51,6.55,4.04,7655
"9431",1.02,"Ideal","E","SI1",61.1,56,6.45,6.51,3.96,4591
"71",0.24,"Very Good","D","VVS1",61.5,60,3.97,4,2.45,553
"21723",1.65,"Very Good","G","SI2",62.2,58,7.55,7.62,4.72,9791
"20707",0.31,"Premium","H","VVS2",61.4,59,4.35,4.38,2.68,625
"10048",0.31,"Premium","I","SI1",60.1,59,4.38,4.41,2.64,418
"7617",1.01,"Good","D","SI2",57.6,62,6.56,6.66,3.81,4260
"35830",0.41,"Good","F","VVS1",63.9,56,4.71,4.74,3.02,915
"53231",0.72,"Ideal","E","SI1",61.2,56,5.75,5.79,3.53,2642
"7971",1.04,"Ideal","H","SI2",60.3,57,6.54,6.59,3.96,4323
"19940",1.66,"Premium","J","SI1",60.7,58,7.72,7.63,4.66,8487
"3874",0.81,"Ideal","F","SI1",62.3,55,5.96,6,3.72,3481
"4297",0.73,"Ideal","G","VS1",61.2,56,5.82,5.85,3.57,3589
"43365",0.52,"Ideal","H","VS1",61.4,56,5.2,5.23,3.2,1408
"14449",1.01,"Very Good","D","SI1",62.8,60,6.36,6.42,4.01,5832
"40042",0.54,"Ideal","E","SI2",62.7,57,5.2,5.23,3.27,1111
"31131",0.3,"Very Good","E","VS1",61.7,56,4.3,4.33,2.66,755
"8684",1.11,"Ideal","I","SI2",61.9,57,6.66,6.62,4.11,4457
"34251",0.38,"Ideal","G","SI1",60.9,56,4.71,4.68,2.86,855
"206",0.78,"Premium","F","SI1",62.4,58,5.83,5.8,3.63,2777
"50098",0.61,"Ideal","D","VS2",61,57,5.49,5.53,3.36,2207
"27988",0.3,"Very Good","E","VS2",62.1,59,4.27,4.29,2.66,658
"33527",0.35,"Ideal","D","VS2",61.8,56,4.51,4.55,2.8,829
"49427",0.7,"Very Good","H","SI1",62.7,56,5.6,5.62,3.52,2107
"36204",0.41,"Very Good","G","VVS2",61.1,55,4.8,4.82,2.94,932
"35331",0.33,"Ideal","E","VVS2",60.7,55,4.49,4.5,2.73,898
"23351",0.3,"Ideal","I","SI1",61.9,58,4.27,4.32,2.66,422
"21886",1.5,"Good","G","SI1",59.7,65,7.46,7.34,4.42,9954
"16056",1.08,"Premium","G","VS2",59.4,59,6.68,6.75,3.99,6415
"26281",2.11,"Ideal","J","VS1",61.8,56.2,8.2,8.23,5.07,15766
"6614",0.9,"Premium","H","VS2",61.8,58,6.17,6.12,3.8,4082
"35844",0.4,"Premium","G","VVS2",61.3,59,4.74,4.78,2.92,917
"37185",0.54,"Premium","H","SI2",61.8,60,5.2,5.16,3.2,972
"39037",0.37,"Ideal","G","IF",61.4,55,4.63,4.66,2.85,1056
"37779",0.37,"Ideal","E","VS1",61.3,55,4.68,4.65,2.86,999
"22038",0.31,"Ideal","I","VS1",61.6,55,4.36,4.34,2.68,628
"35317",0.52,"Ideal","J","SI1",61.4,56.4,5.15,5.17,3.17,896
"40884",0.38,"Ideal","E","VVS2",61.6,55,4.66,4.63,2.86,1176
"42663",0.39,"Ideal","E","IF",61.3,56,4.71,4.75,2.9,1333
"10242",1.13,"Premium","H","SI2",62.7,55,6.69,6.61,4.17,4746
"44198",0.51,"Ideal","D","SI1",61.7,55,5.11,5.16,3.17,1569
"37522",0.47,"Premium","D","SI1",60.6,61,5.04,5,3.04,987
"15762",1.16,"Very Good","F","SI1",63.4,55,6.73,6.65,4.24,6301
"13179",1.11,"Premium","H","VS2",61.7,58,6.64,6.69,4.11,5450
"444",0.96,"Fair","E","SI2",53.1,63,6.73,6.65,3.55,2815
"11599",1.04,"Ideal","G","SI2",62.4,54,6.49,6.53,4.06,5044
"17626",1.01,"Very Good","F","VS2",62.1,57,6.38,6.43,3.98,7098
"27592",1.33,"Ideal","F","IF",60.2,57,7.12,7.17,4.3,18435
"40717",0.53,"Very Good","E","SI2",58.3,62,5.3,5.36,3.11,1160
"53560",0.71,"Premium","G","VS2",60.3,60,5.81,5.76,3.49,2694
"12682",1.26,"Ideal","J","VS2",63.2,57,6.86,6.81,4.32,5306
"52729",0.7,"Very Good","H","VVS2",62.6,57,5.63,5.65,3.53,2558
"45637",0.25,"Very Good","G","VVS1",60.6,55,4.12,4.14,2.5,525
"52769",0.72,"Good","F","SI1",64,61,5.67,5.62,3.61,2563
"16078",1.17,"Ideal","G","SI1",60.7,56,6.79,6.84,4.13,6419
"14756",1.01,"Premium","D","SI1",62.3,60,6.4,6.35,3.97,5939
"42886",0.58,"Ideal","E","SI2",62.4,58,5.32,5.35,3.33,1359
"42781",0.41,"Premium","D","VVS1",62.2,58,4.71,4.77,2.95,1349
"21726",1.11,"Very Good","F","VVS2",60.8,57,6.7,6.73,4.08,9792
"31142",0.38,"Very Good","G","SI1",62.1,54,4.64,4.67,2.9,755
"51920",0.7,"Very Good","F","VS2",60.5,58,5.78,5.83,3.51,2437
"15247",1.04,"Premium","G","VS2",60,58,6.62,6.54,3.95,6122
"29440",0.32,"Very Good","F","VVS2",63.8,55,4.33,4.39,2.78,701
"44603",0.53,"Premium","G","VS2",62.4,59,5.16,5.13,3.21,1607
"26982",2.12,"Ideal","I","VS2",62.7,56,8.16,8.24,5.14,17068
"19165",1.84,"Premium","H","SI2",61,58,7.97,7.87,4.81,7922
"29041",0.42,"Very Good","G","SI1",61.6,61,4.79,4.82,2.96,687
"15114",1.01,"Very Good","F","SI1",62.9,57,6.35,6.4,4.01,6075
"45403",0.51,"Good","D","VS2",63.5,56,5.07,5.1,3.23,1668
"31840",0.34,"Ideal","H","VVS1",62,54,4.46,4.48,2.77,775
"52224",0.7,"Very Good","H","VS1",63.3,59,5.62,5.66,3.57,2484
"9614",1,"Good","J","VVS1",63.5,59,6.29,6.34,4.01,4633
"10012",1.01,"Very Good","H","SI1",63.3,57,6.41,6.36,4.04,4707
"37589",0.44,"Premium","G","SI1",61.9,58,4.87,4.83,3,990
"24930",1.5,"Ideal","G","VS1",61.8,56,7.38,7.31,4.54,13377
"3628",0.9,"Premium","I","VS2",62.4,60,6.16,6.06,3.81,3431
"5698",1,"Good","E","SI2",63.7,61,6.32,6.27,4.01,3889
"11637",0.92,"Ideal","D","SI2",61.9,55,6.24,6.27,3.87,5051
"16183",1.25,"Ideal","E","SI1",61.1,57,6.93,6.89,4.22,6468
"43845",0.58,"Ideal","G","SI1",62.2,55,5.33,5.37,3.33,1446
"44467",0.51,"Ideal","F","SI1",61.1,55,5.22,5.16,3.17,1593
"12669",1.01,"Premium","H","VS2",61.5,59,6.48,6.49,3.99,5303
"49253",0.71,"Ideal","H","SI2",62.1,56,5.76,5.71,3.56,2086
"34764",0.41,"Premium","E","SI2",61.3,57,4.83,4.79,2.95,876
"20823",1,"Premium","E","VVS2",62.7,60,6.34,6.32,3.97,9050
"35988",0.42,"Very Good","H","VVS2",62.4,55,4.78,4.81,2.99,921
"17176",1.31,"Good","H","SI1",57.9,62,7.18,7.25,4.18,6857
"16802",1.28,"Premium","H","SI1",59.9,59,7.08,7.05,4.23,6701
"28356",0.34,"Ideal","H","VVS2",61.2,56,4.51,4.54,2.77,667
"43474",0.41,"Ideal","E","IF",62.1,54,4.75,4.81,2.97,1419
"42921",0.5,"Premium","D","SI1",61.4,59,5.12,5.08,3.13,1363
"2420",0.91,"Fair","H","SI1",64.8,57,6.12,6.07,3.95,3180
"52479",0.77,"Premium","E","SI2",60.8,58,5.96,5.98,3.63,2519
"30383",0.34,"Very Good","F","VS2",62.5,57.5,4.4,4.45,2.77,730
"52611",0.81,"Very Good","G","SI2",63.4,58,5.87,5.92,3.74,2545
"21714",0.33,"Very Good","E","VS2",62.8,56,4.4,4.42,2.77,627
"29451",0.33,"Ideal","E","SI1",61.6,55,4.47,4.49,2.76,702
"17734",1.18,"Premium","G","VS2",62.3,62,6.72,6.69,4.18,7137
"1311",0.91,"Very Good","J","SI1",62.8,59,6.14,6.19,3.87,2956
"35640",0.3,"Ideal","H","SI1",62.5,53.9,4.29,4.32,2.69,475
"49465",1,"Fair","I","I1",65.4,57,6.28,6.2,4.08,2112
"37865",0.37,"Ideal","D","VS2",61.4,55,4.64,4.67,2.86,1003
"1436",0.82,"Ideal","F","SI1",62.6,57,5.96,6.02,3.75,2974
"4463",0.73,"Ideal","E","VS1",61.2,57,5.85,5.8,3.57,3620
"36009",0.31,"Ideal","F","IF",61.1,54,4.39,4.42,2.69,921
"52820",0.72,"Very Good","E","SI2",59.9,57,5.85,5.9,3.52,2573
"10891",1.11,"Premium","G","SI2",60.7,56,6.73,6.68,4.07,4882
"680",0.7,"Very Good","E","VS2",61,60,5.74,5.77,3.51,2850
"50527",0.7,"Ideal","E","VS2",61.4,57,5.72,5.78,3.53,2274
"23752",1.77,"Very Good","G","SI1",63.1,57,7.68,7.63,4.83,11796
"53035",0.71,"Very Good","G","SI1",62.8,55,5.68,5.73,3.58,2604
"25335",2.05,"Ideal","J","SI1",60.3,60,8.17,8.24,4.95,14037
"9335",1.2,"Very Good","J","SI2",61.8,60,6.76,6.83,4.2,4580
"39962",0.63,"Very Good","G","SI2",63.3,59,5.51,5.31,3.45,1105
"8619",1.01,"Very Good","E","SI2",62,60,6.36,6.41,3.96,4445
"43564",0.51,"Ideal","F","VS2",62.5,53,5.12,5.15,3.21,1431
"53479",0.7,"Good","D","SI1",62.6,60,5.57,5.61,3.5,2681
"46046",0.52,"Ideal","H","SI1",62,55,5.16,5.2,3.21,1730
"47571",0.51,"Ideal","G","VVS2",61.5,57,5.13,5.18,3.17,1875
"27670",2.16,"Very Good","F","SI2",62.4,59,8.28,8.33,5.18,18678
"48472",0.52,"Ideal","F","VVS2",62.1,54,5.17,5.2,3.22,1978
"9943",1.01,"Ideal","H","SI2",61.1,56,6.44,6.48,3.95,4693
"39785",0.3,"Ideal","G","VVS1",62.1,56,4.35,4.28,2.68,1094
"32240",0.38,"Ideal","F","VS2",62.1,53.8,4.66,4.67,2.9,789
"24272",1.52,"Premium","G","VVS1",62.7,59,7.32,7.35,4.6,12498
"30493",0.31,"Premium","D","SI1",61.4,58,4.39,4.34,2.68,732
"13935",1.06,"Ideal","H","VS2",60.5,57,6.63,6.6,4,5669
"5436",0.77,"Ideal","E","SI1",61,56,5.92,5.94,3.62,3827
"275",0.73,"Ideal","H","VS2",62.7,55,5.72,5.76,3.6,2793
"27866",0.3,"Very Good","E","VS1",61.4,59,4.32,4.28,2.64,653
"22872",2,"Fair","H","SI2",67.9,55,7.67,7.58,5.18,10913
"7278",1,"Ideal","I","SI1",59.8,57,6.5,6.44,3.87,4200
"52129",0.6,"Ideal","G","VVS2",61.3,56,5.43,5.46,3.34,2467
"11609",1.15,"Very Good","H","SI1",60.9,57,6.72,6.8,4.12,5047
"16266",1.02,"Premium","G","VS1",60.8,58,6.52,6.47,3.95,6505
"4761",0.9,"Good","D","SI1",63.6,63,6.07,6.03,3.85,3689
"39366",0.5,"Very Good","I","SI1",63.4,62,5,4.95,3.15,1073
"28804",0.4,"Very Good","G","SI1",61.9,55,4.71,4.75,2.93,682
"17020",1.01,"Ideal","G","VS1",62.4,56,6.44,6.39,4,6794
"17993",1.31,"Premium","H","VS2",62.5,58,6.97,6.94,4.35,7277
"20170",1.4,"Premium","H","SI1",60.5,60,7.22,7.16,4.35,8624
"2400",0.31,"Ideal","G","VS2",61.7,55,4.37,4.39,2.7,562
"31645",0.27,"Ideal","H","VS2",61.7,56,4.13,4.17,2.56,451
"12623",1,"Premium","F","SI1",60.5,56,6.48,6.45,3.91,5292
"4198",1.01,"Very Good","I","SI1",63.1,58,6.38,6.33,4.01,3563
"34936",0.28,"Very Good","H","VS2",61.4,57,4.21,4.23,2.59,376
"11347",1.01,"Very Good","F","SI1",63.5,59,6.38,6.29,4.02,4989
"25451",1.51,"Very Good","D","VS2",63.1,62,7.24,7.22,4.56,14205
"53923",0.7,"Very Good","D","VS1",63.1,59,5.67,5.58,3.55,2755
"5234",0.9,"Very Good","G","SI2",63.2,58,6.05,6.1,3.84,3787
"3827",0.7,"Ideal","D","SI1",61.6,57,5.69,5.74,3.52,3471
"33746",0.31,"Ideal","F","VVS1",62.4,54,4.33,4.35,2.71,840
"16980",1.37,"Very Good","G","SI2",63.4,61,6.95,7.03,4.43,6781
"35872",0.3,"Ideal","E","VVS1",61.1,56,4.36,4.38,2.67,918
"38329",0.32,"Premium","E","VVS1",60.5,58,4.47,4.42,2.69,1020
"24540",2.01,"Ideal","G","SI1",61.6,57,8.08,8,4.95,12829
"749",0.33,"Good","I","SI1",63.6,53,4.43,4.4,2.81,557
"3940",0.9,"Fair","H","VS1",65.9,60,5.99,5.96,3.94,3500
"51086",0.89,"Fair","I","VS1",68.2,65,5.82,5.74,3.94,2334
"27623",2.09,"Very Good","F","SI2",61.3,59,8.19,8.33,5.06,18509
"25401",1.64,"Premium","E","SI1",59.5,58,7.64,7.72,4.57,14107
"37484",0.35,"Premium","E","VS2",60.7,60,4.58,4.55,2.77,984
"11801",1.18,"Premium","I","SI1",62.8,56,6.74,6.71,4.22,5088
"40237",0.39,"Ideal","F","VVS1",62.2,54,4.71,4.74,2.94,1124
"40010",0.41,"Ideal","F","VS2",62.7,56,4.78,4.72,2.98,1107
"5050",0.31,"Premium","H","SI1",61.1,55,4.39,4.35,2.67,573
"28262",0.23,"Very Good","D","VS1",61.8,57,3.9,3.93,2.42,357
"44772",0.42,"Ideal","D","VVS1",61.6,56,4.82,4.79,2.96,1621
"43162",0.42,"Ideal","F","VVS1",61.3,56,4.83,4.82,2.96,1389
"32065",0.33,"Premium","D","SI1",60.1,59,4.49,4.46,2.69,780
"40631",0.41,"Ideal","E","VS1",62.1,56,4.78,4.75,2.96,1153
"15716",0.36,"Premium","G","SI2",62.4,58,4.58,4.56,2.85,608
"19105",1.22,"Premium","G","VS2",61.2,58,6.91,6.81,4.2,7870
"8810",1.08,"Ideal","I","SI1",61.4,57,6.67,6.62,4.08,4476
"23619",1.79,"Ideal","H","SI2",61.5,56,7.77,7.81,4.79,11643
"51229",0.7,"Good","H","VS2",59.1,65,5.85,5.75,3.43,2352
"18398",1.03,"Ideal","E","VS1",59.5,57,6.6,6.62,3.93,7477
"13794",1,"Ideal","E","SI1",62.7,57,6.39,6.49,4.04,5622
"31458",0.34,"Ideal","E","SI1",60.7,56,4.55,4.51,2.75,765
"14169",1.34,"Ideal","J","VS1",62,57,7.04,7.12,4.39,5748
"33108",0.34,"Ideal","E","VS1",62.2,54.2,4.44,4.47,2.78,816
"41946",0.35,"Very Good","H","SI1",61.3,55,4.55,4.58,2.8,504
"11824",1.33,"Premium","I","SI2",59.7,59,7.21,7.15,4.29,5094
"50838",0.62,"Very Good","D","VS1",63.4,55,5.46,5.43,3.45,2310
"38357",0.33,"Ideal","D","VVS2",60.9,57,4.48,4.46,2.72,1021
"2313",0.73,"Good","F","VVS2",58.2,63,5.87,6.01,3.46,3166
"42902",0.59,"Good","F","SI1",59.1,58,5.46,5.5,3.24,1361
"28171",0.39,"Ideal","G","SI1",60.7,57,4.69,4.8,2.88,665
"44761",0.52,"Very Good","E","VS2",62.8,55,5.11,5.15,3.22,1621
"33434",0.32,"Premium","G","VS1",62.1,55,4.44,4.41,2.75,828
"18045",0.35,"Very Good","E","SI1",60.7,59,4.52,4.57,2.76,614
"2145",0.52,"Ideal","E","VVS1",61.8,55,5.2,5.19,3.21,3125
"44535",0.5,"Very Good","G","VS1",61.9,59,5.06,5.08,3.14,1603
"53569",0.7,"Good","E","SI1",60.4,61,5.73,5.76,3.47,2696
"32081",0.33,"Very Good","D","VS2",62.8,54,4.43,4.46,2.79,781
"53602",0.75,"Fair","F","SI1",64.6,57,5.7,5.67,3.67,2700
"4680",0.8,"Very Good","G","VS1",62.7,56,5.9,5.94,3.71,3673
"39394",0.41,"Ideal","D","VS2",62.4,55,4.79,4.76,2.98,1076
"18993",1.14,"Ideal","F","VS2",61.9,57,6.67,6.7,4.13,7819
"4723",0.33,"Premium","I","SI1",62.8,58,4.43,4.39,2.77,572
"20178",1.03,"Ideal","E","VS1",61.9,57,6.46,6.44,4,8629
"12438",1,"Good","G","VS2",58.6,65,6.61,6.53,3.85,5242
"46705",0.7,"Fair","F","SI2",64.8,57,5.65,5.59,3.64,1792
"15028",1.35,"Ideal","J","VS1",62.3,54,7.17,7.06,4.43,6048
"4203",1.01,"Premium","F","SI2",60.2,61,6.49,6.43,3.89,3563
"51037",0.71,"Premium","E","SI1",58.9,61,5.79,5.75,3.4,2329
"38350",0.4,"Ideal","G","SI1",62.6,55,4.71,4.69,2.93,1020
"48703",0.56,"Very Good","G","VVS2",61.4,57,5.26,5.32,3.25,2010
"37462",0.42,"Premium","G","VS1",59.4,59,4.9,4.86,2.9,984
"5555",1.02,"Very Good","J","SI1",62.5,58,6.37,6.43,4,3857
"48535",0.54,"Ideal","D","VS1",61.6,54,5.24,5.25,3.23,1987
"27789",0.37,"Ideal","E","SI1",62.7,54,4.55,4.6,2.87,649
"39862",0.38,"Ideal","F","VVS1",62,54.7,4.62,4.67,2.88,1101
"33444",0.32,"Ideal","G","VS1",61.6,56,4.42,4.38,2.71,828
"21100",1.29,"Ideal","H","VS1",61.8,56,6.97,7.02,4.32,9273
"21367",0.38,"Ideal","I","SI1",61.6,57,4.62,4.66,2.86,626
"36797",0.34,"Premium","E","VS2",62.6,58,4.45,4.43,2.78,956
"51570",0.7,"Ideal","I","VS2",62.5,54,5.68,5.71,3.56,2390
"43265",0.3,"Premium","I","SI1",61.6,59,4.34,4.29,2.66,506
"23524",1.38,"Ideal","G","VS1",62.2,54,7.18,7.14,4.45,11527
"36399",0.31,"Ideal","E","VS1",60.9,57,4.41,4.39,2.68,942
"52253",0.71,"Ideal","F","SI1",60.8,57,5.75,5.8,3.51,2487
"45301",0.31,"Very Good","G","SI2",63.2,55,4.33,4.31,2.73,523
"26183",2.01,"Premium","I","SI1",62.4,61,8.01,7.99,4.99,15528
"20051",0.31,"Premium","G","VS1",61.2,60,4.37,4.39,2.68,625
"4891",0.71,"Premium","D","VS1",59.2,59,5.9,5.85,3.48,3718
"24614",1.81,"Premium","I","VS2",62.7,58,7.77,7.68,4.84,12939
"50203",0.69,"Very Good","D","SI1",57.6,62,5.83,5.9,3.38,2227
"51274",0.55,"Ideal","F","VVS1",62.1,56,5.25,5.28,3.27,2359
"41215",0.4,"Ideal","F","VVS1",61.7,57,4.75,4.72,2.92,1206
"53567",0.7,"Premium","E","VS1",62.7,60,5.64,5.59,3.52,2695
"1160",0.7,"Very Good","F","VS1",64.5,58,5.55,5.59,3.59,2925
"2989",0.71,"Ideal","E","VS2",61.8,57,5.69,5.74,3.53,3301
"12885",1.22,"Premium","I","SI1",61.2,59,6.86,6.9,4.21,5368
"7833",1.01,"Very Good","E","SI2",63.4,59,6.32,6.26,3.99,4299
"11463",1.03,"Very Good","E","SI1",61.3,60,6.51,6.53,4,5010
"18966",1.23,"Ideal","H","VS1",60.6,57,6.94,6.98,4.22,7803
"27504",2.02,"Premium","H","VS2",62.7,53,8.02,7.95,0,18207
"27843",0.31,"Premium","E","SI1",58.7,60,4.48,4.45,2.62,651
"8339",0.9,"Very Good","F","VS2",59.6,59,6.27,6.31,3.75,4397
"38633",0.31,"Very Good","H","VS2",60,60,4.4,4.43,2.65,489
"37039",0.38,"Very Good","H","VVS1",59.1,58,4.71,4.76,2.8,967
"44879",0.5,"Premium","G","VS1",58.9,59,5.21,5.15,3.05,1629
"8319",1,"Very Good","E","SI2",63.3,55,6.29,6.25,3.97,4390
"22352",0.31,"Ideal","H","VS2",62.2,55,4.39,4.36,2.72,628
"2979",0.71,"Ideal","D","VS2",61.5,55,5.75,5.79,3.55,3299
"5163",0.9,"Premium","F","SI2",61.5,59,6.2,6.23,3.82,3770
"47320",0.23,"Very Good","E","VVS2",62.4,59,3.91,3.94,2.45,530
"31580",0.35,"Ideal","E","VS2",61.6,56,4.52,4.54,2.79,767
"21148",1.51,"Ideal","F","SI2",62.6,55,7.35,7.39,4.61,9301
"23487",1.6,"Premium","G","VS2",62.2,59,7.45,7.48,4.64,11489
"3489",0.9,"Good","I","VS2",62.5,59,6.06,6.13,3.81,3398
"48656",0.34,"Very Good","H","VS2",62.4,60,4.41,4.44,2.76,537
"14727",0.3,"Ideal","G","VS1",62.2,55,4.28,4.31,2.67,605
"16169",1,"Premium","G","VS1",61.2,58,6.49,6.38,3.94,6462
"40378",0.56,"Ideal","J","VS2",61.4,56,5.32,5.34,3.27,1131
"49862",0.57,"Premium","H","VVS1",61.6,58,5.39,5.35,3.31,2172
"48308",0.33,"Ideal","I","VS1",62.1,53.9,4.43,4.45,2.76,534
"639",0.73,"Premium","G","VS1",61.4,58,5.82,5.77,3.56,2841
"24690",1.05,"Ideal","F","IF",61.7,56,6.48,6.56,4.02,13060
"20483",1.75,"Premium","F","SI2",58,59,7.97,7.92,4.61,8820
"30806",0.3,"Very Good","E","VVS2",62.4,57,4.26,4.27,2.66,743
"22426",1.5,"Fair","F","SI1",64.3,58,7.04,7.09,4.54,10450
"44677",0.71,"Ideal","J","SI1",62.6,57,5.7,5.65,3.55,1609
"38146",0.3,"Very Good","G","VVS1",63.5,57,4.27,4.24,2.7,1013
"23725",0.25,"Very Good","F","VVS1",62.9,55,4.04,4.06,2.55,633
"38723",0.41,"Premium","H","VVS1",60.4,58,4.79,4.85,2.91,1043
"42171",0.53,"Premium","I","VS1",62.3,58,5.18,5.26,3.25,1286
"50385",0.52,"Ideal","F","VVS1",59.8,59,5.21,5.25,3.13,2251
"53291",0.3,"Premium","D","SI1",62.3,58,4.28,4.32,2.68,552
"35302",0.3,"Very Good","H","VS2",61.1,61,4.31,4.33,2.64,473
"25164",1.7,"Premium","F","VS2",62.5,61,7.54,7.45,4.69,13737
"13983",1.01,"Ideal","D","SI1",62.1,56,6.36,6.43,3.97,5694
"21443",1.06,"Ideal","F","VVS2",61.3,57,6.56,6.59,4.03,9547
"14151",1.25,"Premium","H","SI2",61.6,54,6.95,6.85,4.25,5740
"12418",1.07,"Premium","H","SI1",59.2,61,6.67,6.65,3.94,5237
"14541",1.18,"Good","D","SI2",59.7,61,6.83,6.88,4.09,5871
"14888",1.01,"Very Good","G","VS1",63.1,57,6.38,6.33,4.01,5995
"7964",1.06,"Good","E","SI2",63.9,60,6.45,6.41,4.11,4321
"51633",0.31,"Very Good","E","SI1",60.1,61,4.35,4.4,2.63,544
"40898",0.41,"Ideal","D","VS2",59.7,57,4.87,4.84,2.9,1177
"24556",1.58,"Very Good","E","SI1",62.9,59,7.38,7.43,4.66,12844
"2416",0.72,"Ideal","H","VVS1",60.8,58,5.77,5.8,3.52,3180
"7665",1.15,"Premium","G","SI2",62.7,58,6.71,6.69,4.2,4270
"17405",1.56,"Premium","F","SI2",63,58,7.35,7.28,4.66,6971
"42405",0.61,"Premium","I","VS2",58.8,58,5.59,5.53,3.27,1308
"5358",0.84,"Very Good","D","SI1",62.9,58,5.93,6.02,3.76,3816
"1164",1.2,"Premium","I","I1",60.5,58,6.9,6.79,4.14,2925
"27613",2.57,"Premium","J","SI1",63,58,8.77,8.65,5.49,18485
"10541",1,"Ideal","E","SI2",62.2,52,6.42,6.47,4.01,4808
"50689",0.51,"Very Good","D","VVS2",63.1,58,5.1,5.07,3.21,2289
"16520",1,"Premium","E","VS2",61.8,59,6.38,6.41,3.95,6600
"16659",1.25,"Ideal","H","SI1",62.2,57,6.86,6.9,4.28,6661
"1602",0.7,"Ideal","F","VS2",61.9,55,5.7,5.74,3.54,3011
"13363",0.24,"Very Good","F","VS2",59.6,58,4.08,4.11,2.44,419
"32456",0.4,"Premium","H","VS1",62.7,58.5,4.7,4.74,2.96,793
"7878",0.91,"Good","H","VS2",59.9,61,6.18,6.24,3.72,4309
"35408",0.32,"Ideal","E","VS2",61.9,55,4.43,4.42,2.74,900
"23671",1.59,"Good","F","SI1",63.6,57,7.39,7.43,4.71,11716
"3350",0.91,"Premium","E","SI2",58.5,60,6.34,6.31,3.7,3379
"23202",2.04,"Premium","J","VS2",60.9,59,8.25,8.21,5.01,11209
"8045",0.39,"Premium","J","VS2",61.3,60,4.65,4.68,2.86,581
"14993",1.01,"Ideal","F","SI1",62.7,54,6.38,6.44,4.02,6039
"17866",1.04,"Ideal","E","SI1",61.8,56,6.49,6.53,4.02,7208
"34662",0.31,"Ideal","E","VS2",62,55,4.35,4.33,2.69,872
"49286",0.7,"Ideal","G","SI2",62.4,56,5.65,5.67,3.53,2092
"53891",0.73,"Good","E","SI1",57.9,55,6,5.96,3.46,2749
"51140",1.01,"Fair","I","I1",56.1,63,6.7,6.65,3.74,2342
"5856",0.7,"Very Good","D","VVS1",61.5,63,5.78,5.64,3.51,3920
"40297",0.4,"Ideal","G","VS1",62.2,56,4.74,4.72,2.94,1125
"6730",0.25,"Premium","H","VVS1",59.8,59,4.09,4.07,2.44,577
"23660",1.54,"Very Good","G","VS2",63,59,7.3,7.36,4.62,11708
"52064",0.7,"Very Good","E","SI2",62.8,59,5.64,5.69,3.56,2453
"8164",1.03,"Premium","I","SI1",61.6,59,6.46,6.49,3.99,4362
"47437",0.55,"Ideal","G","VS2",60.4,56,5.38,5.31,3.23,1854
"5443",1.14,"Premium","H","SI2",62.2,61,6.72,6.64,4.16,3830
"20434",1.51,"Very Good","J","VVS2",60.6,58,7.36,7.4,4.47,8789
"3429",0.71,"Premium","H","IF",60.2,61,5.8,5.76,3.48,3384
